"mukey" "cokey" "Loc" "Lat" "Lon" "dist" "centX" "centY" "cont" "awc" "mdep" "hrb" "elev" "corn_yield" "corn_yield_high" "comppct" "New_Lat_ROW_Index_NARR" "New_Lat_COL_Index_NARR" "New_Lon_ROW_Index_NARR" "New_Lon_COL_Index_NARR" "New_Loc"
660837 956713 150 38.9615287781 -123.557899475 0 -123.444982105 38.960918596 1 0.148951612903 127 1 686 NA NA 12 130 110 130 110 11130
660837 956719 150 38.9615287781 -123.557899475 0 -123.444982105 38.960918596 1 0.048085106383 NA NA 686 NA NA 11 130 110 130 110 11130
660837 956721.52631579 150 38.9615287781 -123.557899475 0 -123.444982105 38.960918596 1 0.115384733692099 94.1267605633803 1.375 711.631578947368 NA NA 77 130 110 130 110 11130
660835 956683 151 39.2415008545 -123.639297485 0 -123.897136297 39.8823321229 1 0.144258064516 153 3 124 NA NA 22 130 111 130 111 11230
660835 956677 151 39.2415008545 -123.639297485 0 -123.897136297 39.8823321229 1 0.0958333333333 127 1 124 NA NA 13 130 111 130 111 11230
660835 956685 151 39.2415008545 -123.639297485 0 -123.897136297 39.8823321229 1 0.129257420855945 110.067796610169 2.1875 114.176470588235 NA NA 65 130 111 130 111 11230
660835 956683 152 39.5216293335 -123.721496582 0 -123.897136297 39.8823321229 1 0.144258064516 153 3 124 NA NA 22 130 112 130 112 11330
660835 956677 152 39.5216293335 -123.721496582 0 -123.897136297 39.8823321229 1 0.0958333333333 127 1 124 NA NA 13 130 112 130 112 11330
660835 956685 152 39.5216293335 -123.721496582 0 -123.897136297 39.8823321229 1 0.129257420855945 110.067796610169 2.1875 114.176470588235 NA NA 65 130 112 130 112 11330
660835 956683 153 39.8019294739 -123.804496765 0 -123.897136297 39.8823321229 1 0.144258064516 153 3 124 NA NA 22 130 113 130 113 11430
660835 956677 153 39.8019294739 -123.804496765 0 -123.897136297 39.8823321229 1 0.0958333333333 127 1 124 NA NA 13 130 113 130 113 11430
660835 956685 153 39.8019294739 -123.804496765 0 -123.897136297 39.8823321229 1 0.129257420855945 110.067796610169 2.1875 114.176470588235 NA NA 65 130 113 130 113 11430
660837 956713 154 40.0823783875 -123.888298035 0 -123.724432574 39.9204221492 1 0.148951612903 127 1 686 NA NA 12 130 114 130 114 11530
660837 956719 154 40.0823783875 -123.888298035 0 -123.724432574 39.9204221492 1 0.048085106383 NA NA 686 NA NA 11 130 114 130 114 11530
660837 956721.52631579 154 40.0823783875 -123.888298035 0 -123.724432574 39.9204221492 1 0.115384733692099 94.1267605633803 1.375 711.631578947368 NA NA 77 130 114 130 114 11530
660835 956683 155 40.3629798889 -123.972900391 0 -123.897136297 39.8823321229 1 0.144258064516 153 3 124 NA NA 22 130 115 130 115 11630
660835 956677 155 40.3629798889 -123.972900391 0 -123.897136297 39.8823321229 1 0.0958333333333 127 1 124 NA NA 13 130 115 130 115 11630
660835 956685 155 40.3629798889 -123.972900391 0 -123.897136297 39.8823321229 1 0.129257420855945 110.067796610169 2.1875 114.176470588235 NA NA 65 130 115 130 115 11630
660818 956399 156 40.6437187195 -124.058403015 0 -124.088865351 40.6739855694 1 0.180526315789 127 2 457 NA NA 25 130 116 130 116 11730
660818 956413 156 40.6437187195 -124.058403015 0 -124.088865351 40.6739855694 1 0.144258064516 153 3 124 NA NA 13 130 116 130 116 11730
660818 956406.5625 156 40.6437187195 -124.058403015 0 -124.088865351 40.6739855694 1 0.152290776940355 105.979166666667 1.92857142857143 320.230769230769 NA NA 62 130 116 130 116 11730
660819 956416 157 40.9245910645 -124.144699097 0.00659395488679 -124.163342965 40.8711633298 1 0.04 NA 0 NA NA NA 45 130 117 130 117 11830
660819 956417 157 40.9245910645 -124.144699097 0.00659395488679 -124.163342965 40.8711633298 1 0.06 NA NA 76 NA NA 20 130 117 130 117 11830
660819 956419.5 157 40.9245910645 -124.144699097 0.00659395488679 -124.163342965 40.8711633298 1 0.0393301435406788 25 0 1.5 NA NA 35 130 117 130 117 11830
660836 956696 248 38.4637298584 -123.040298462 0 -123.488886625 39.1851708189 1 0.158866666667 127 1 69 NA NA 17 131 108 131 108 10931
660836 956698 248 38.4637298584 -123.040298462 0 -123.488886625 39.1851708189 1 0.162763157895 77 1 503 NA NA 13 131 108 131 108 10931
660836 956703.285714286 248 38.4637298584 -123.040298462 0 -123.488886625 39.1851708189 1 0.115305827810654 106.298507462687 1 396.5 NA NA 70 131 108 131 108 10931
660837 956713 249 38.7436981201 -123.118499756 0 -123.072638307 38.6237046277 1 0.148951612903 127 1 686 NA NA 12 131 109 131 109 11031
